#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
5.32508365e-01 -2.26600992e-09 1.25708321e-04 1.21220944e-04
5.34065407e-01 -2.26368533e-09 1.26403783e-04 1.21700285e-04
5.35622449e-01 -2.26125331e-09 1.27098389e-04 1.22178847e-04
5.37179491e-01 -2.25871470e-09 1.27792098e-04 1.22656617e-04
5.38736533e-01 -2.25606960e-09 1.28484872e-04 1.23133583e-04
5.40293575e-01 -2.25331790e-09 1.29176670e-04 1.23609731e-04
5.41850617e-01 -2.25046041e-09 1.29867454e-04 1.24085049e-04
5.43407659e-01 -2.24749667e-09 1.30557183e-04 1.24559524e-04
5.44964701e-01 -2.24442783e-09 1.31245818e-04 1.25033144e-04
5.46521743e-01 -2.24125390e-09 1.31933321e-04 1.25505896e-04
5.48078785e-01 -2.23797522e-09 1.32619652e-04 1.25977768e-04
5.49635827e-01 -2.23459145e-09 1.33304773e-04 1.26448747e-04
5.51192869e-01 -2.23110386e-09 1.33988644e-04 1.26918820e-04
5.52749911e-01 -2.22751210e-09 1.34671227e-04 1.27387977e-04
5.54306953e-01 -2.22381664e-09 1.35352484e-04 1.27856203e-04
5.55863995e-01 -2.22001794e-09 1.36032376e-04 1.28323487e-04
5.57421037e-01 -2.21611671e-09 1.36710864e-04 1.28789817e-04
5.58978079e-01 -2.21211269e-09 1.37387911e-04 1.29255181e-04
5.60535121e-01 -2.20800649e-09 1.38063479e-04 1.29719566e-04
5.62092163e-01 -2.20379890e-09 1.38737529e-04 1.30182961e-04
5.63649205e-01 -2.19948981e-09 1.39410025e-04 1.30645353e-04
5.65206247e-01 -2.19507969e-09 1.40080928e-04 1.31106731e-04
5.66763289e-01 -2.19056923e-09 1.40750201e-04 1.31567083e-04
5.68320331e-01 -2.18595832e-09 1.41417808e-04 1.32026397e-04
5.69877373e-01 -2.18124822e-09 1.42083710e-04 1.32484662e-04
5.71434415e-01 -2.17643872e-09 1.42747871e-04 1.32941865e-04
