#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
6.74798358e-01 -2.42462519e-09 3.80063419e-04 3.54516997e-04
6.77216990e-01 -2.40199525e-09 3.81573890e-04 3.55827706e-04
6.79635622e-01 -2.37919558e-09 3.83072976e-04 3.57132985e-04
6.82054254e-01 -2.35623131e-09 3.84560597e-04 3.58432802e-04
6.84472886e-01 -2.33310742e-09 3.86036674e-04 3.59727125e-04
6.86891518e-01 -2.30982970e-09 3.87501133e-04 3.61015923e-04
6.89310150e-01 -2.28640340e-09 3.88953899e-04 3.62299168e-04
6.91728782e-01 -2.26283403e-09 3.90394903e-04 3.63576831e-04
6.94147414e-01 -2.23912660e-09 3.91824077e-04 3.64848884e-04
6.96566047e-01 -2.21528686e-09 3.93241356e-04 3.66115302e-04
6.98984679e-01 -2.19132046e-09 3.94646677e-04 3.67376058e-04
7.01403311e-01 -2.16723253e-09 3.96039979e-04 3.68631129e-04
7.03821943e-01 -2.14302884e-09 3.97421205e-04 3.69880490e-04
7.06240575e-01 -2.11871490e-09 3.98790300e-04 3.71124121e-04
7.08659207e-01 -2.09429661e-09 4.00147212e-04 3.72361999e-04
7.11077839e-01 -2.06977961e-09 4.01491891e-04 3.73594104e-04
7.13496471e-01 -2.04516927e-09 4.02824290e-04 3.74820418e-04
7.15915103e-01 -2.02047125e-09 4.04144365e-04 3.76040922e-04
7.18333736e-01 -1.99569144e-09 4.05452074e-04 3.77255599e-04
7.20752368e-01 -1.97083536e-09 4.06747377e-04 3.78464434e-04
7.23171000e-01 -1.94590927e-09 4.08030240e-04 3.79667411e-04
7.25589632e-01 -1.92091845e-09 4.09300627e-04 3.80864517e-04
7.28008264e-01 -1.89586814e-09 4.10558509e-04 3.82055740e-04
7.30426896e-01 -1.87076540e-09 4.11803857e-04 3.83241067e-04
7.32845528e-01 -1.84561523e-09 4.13036646e-04 3.84420489e-04
7.35264160e-01 -1.82042339e-09 4.14256853e-04 3.85593996e-04
7.37682792e-01 -1.79519643e-09 4.15464458e-04 3.86761581e-04
7.40101424e-01 -1.76993921e-09 4.16659444e-04 3.87923235e-04
7.42520057e-01 -1.74465815e-09 4.17841797e-04 3.89078954e-04
7.44938689e-01 -1.71935914e-09 4.19011505e-04 3.90228732e-04
7.47357321e-01 -1.69404757e-09 4.20168559e-04 3.91372566e-04
7.49775953e-01 -1.66872946e-09 4.21312954e-04 3.92510454e-04
7.52194585e-01 -1.64341083e-09 4.22444685e-04 3.93642393e-04
7.54613217e-01 -1.61809746e-09 4.23563754e-04 3.94768385e-04
7.57031849e-01 -1.59279525e-09 4.24670161e-04 3.95888430e-04
7.59450481e-01 -1.56750983e-09 4.25763912e-04 3.97002530e-04
7.61869113e-01 -1.54224787e-09 4.26845016e-04 3.98110689e-04
7.64287746e-01 -1.51701321e-09 4.27913482e-04 3.99212910e-04
7.66706378e-01 -1.49181368e-09 4.28969324e-04 4.00309201e-04
7.69125010e-01 -1.46665415e-09 4.30012559e-04 4.01399567e-04
7.71543642e-01 -1.44154052e-09 4.31043206e-04 4.02484018e-04
7.73962274e-01 -1.41647919e-09 4.32061286e-04 4.03562561e-04
7.76380906e-01 -1.39147529e-09 4.33066825e-04 4.04635208e-04
7.78799538e-01 -1.36653472e-09 4.34059849e-04 4.05701970e-04
7.81218170e-01 -1.34166325e-09 4.35040390e-04 4.06762860e-04
7.83636802e-01 -1.31686664e-09 4.36008480e-04 4.07817892e-04
7.86055435e-01 -1.29215144e-09 4.36964155e-04 4.08867082e-04
7.88474067e-01 -1.26752162e-09 4.37907454e-04 4.09910445e-04
7.90892699e-01 -1.24298449e-09 4.38838418e-04 4.10948000e-04
7.93311331e-01 -1.21854453e-09 4.39757091e-04 4.11979765e-04
7.95729963e-01 -1.19420842e-09 4.40663521e-04 4.13005761e-04
7.98148595e-01 -1.16998050e-09 4.41557756e-04 4.14026008e-04
8.00567227e-01 -1.14586795e-09 4.42439850e-04 4.15040529e-04
8.02985859e-01 -1.12187540e-09 4.43309857e-04 4.16049348e-04
8.05404491e-01 -1.09800849e-09 4.44167836e-04 4.17052491e-04
8.07823123e-01 -1.07427259e-09 4.45013847e-04 4.18049982e-04
8.10241756e-01 -1.05067348e-09 4.45847953e-04 4.19041849e-04
8.12660388e-01 -1.02721641e-09 4.46670221e-04 4.20028121e-04
8.15079020e-01 -1.00390703e-09 4.47480718e-04 4.21008828e-04
8.17497652e-01 -9.80750327e-10 4.48279518e-04 4.21984001e-04
8.19916284e-01 -9.57752078e-10 4.49066693e-04 4.22953671e-04
8.22334916e-01 -9.34917152e-10 4.49842320e-04 4.23917873e-04
8.24753548e-01 -9.12251191e-10 4.50606478e-04 4.24876641e-04
8.27172180e-01 -8.89759450e-10 4.51359251e-04 4.25830011e-04
8.29590812e-01 -8.67446801e-10 4.52100721e-04 4.26778020e-04
8.32009445e-01 -8.45318757e-10 4.52830977e-04 4.27720705e-04
8.34428077e-01 -8.23380060e-10 4.53550108e-04 4.28658108e-04
8.36846709e-01 -8.01636224e-10 4.54258207e-04 4.29590268e-04
8.39265341e-01 -7.80091991e-10 4.54955368e-04 4.30517227e-04
8.41683973e-01 -7.58752105e-10 4.55641688e-04 4.31439029e-04
8.44102605e-01 -7.37621565e-10 4.56317269e-04 4.32355718e-04
8.46521237e-01 -7.16706013e-10 4.56982211e-04 4.33267338e-04
8.48939869e-01 -6.96009165e-10 4.57636620e-04 4.34173938e-04
8.51358501e-01 -6.75536792e-10 4.58280604e-04 4.35075564e-04
8.53777133e-01 -6.55292866e-10 4.58914273e-04 4.35972267e-04
8.56195766e-01 -6.35282516e-10 4.59537737e-04 4.36864095e-04
8.58614398e-01 -6.15510101e-10 4.60151113e-04 4.37751101e-04
8.61033030e-01 -5.95980749e-10 4.60754517e-04 4.38633337e-04
8.63451662e-01 -5.76697920e-10 4.61348068e-04 4.39510857e-04
8.65870294e-01 -5.57666999e-10 4.61931888e-04 4.40383715e-04
8.68288926e-01 -5.38891832e-10 4.62506102e-04 4.41251969e-04
8.70707558e-01 -5.20377291e-10 4.63070835e-04 4.42115675e-04
8.73126190e-01 -5.02127350e-10 4.63626216e-04 4.42974891e-04
8.75544822e-01 -4.84145854e-10 4.64172376e-04 4.43829677e-04
8.77963455e-01 -4.66437675e-10 4.64709448e-04 4.44680094e-04
8.80382087e-01 -4.49006531e-10 4.65237568e-04 4.45526203e-04
8.82800719e-01 -4.31856396e-10 4.65756871e-04 4.46368067e-04
8.85219351e-01 -4.14991244e-10 4.66267499e-04 4.47205750e-04
8.87637983e-01 -3.98415049e-10 4.66769593e-04 4.48039318e-04
8.90056615e-01 -3.82131530e-10 4.67263296e-04 4.48868836e-04
8.92475247e-01 -3.66144915e-10 4.67748754e-04 4.49694372e-04
8.94893879e-01 -3.50457898e-10 4.68226116e-04 4.50515994e-04
8.97312511e-01 -3.35075607e-10 4.68695530e-04 4.51333772e-04
8.99731143e-01 -3.20000477e-10 4.69157149e-04 4.52147775e-04
9.02149776e-01 -3.05235713e-10 4.69611127e-04 4.52958075e-04
9.04568408e-01 -2.90785290e-10 4.70057619e-04 4.53764746e-04
