#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
9.52941050e-01 4.31442985e-09 1.44188486e-07 1.40269446e-07
9.57778314e-01 4.33633009e-09 1.44206502e-07 1.40673418e-07
9.62615578e-01 4.35823071e-09 1.44218575e-07 1.41075013e-07
9.67452842e-01 4.38013159e-09 1.44225402e-07 1.41474562e-07
9.72290107e-01 4.40203234e-09 1.44227688e-07 1.41872402e-07
9.77127371e-01 4.42393257e-09 1.44226147e-07 1.42268876e-07
9.81964635e-01 4.44583384e-09 1.44221499e-07 1.42664332e-07
9.86801899e-01 4.46773433e-09 1.44214475e-07 1.43059125e-07
9.91639164e-01 4.48963482e-09 1.44205806e-07 1.43453612e-07
9.96476428e-01 4.51153532e-09 1.44196236e-07 1.43848157e-07
1.00131369e+00 4.53343632e-09 1.44186506e-07 1.44243125e-07
1.00615096e+00 4.55533708e-09 1.44177368e-07 1.44638889e-07
1.01098822e+00 4.57723744e-09 1.44169572e-07 1.45035821e-07
1.01582548e+00 4.59913806e-09 1.44163876e-07 1.45434298e-07
1.02066275e+00 4.62103868e-09 1.44161036e-07 1.45834701e-07
1.02550001e+00 4.64293931e-09 1.44161810e-07 1.46237408e-07
1.03033728e+00 4.66484006e-09 1.44166960e-07 1.46642807e-07
1.03517454e+00 4.68674094e-09 1.44177242e-07 1.47051280e-07
1.04001181e+00 4.70864169e-09 1.44193417e-07 1.47463214e-07
1.04484907e+00 4.73054218e-09 1.44216240e-07 1.47878993e-07
1.04968633e+00 4.75244280e-09 1.44246466e-07 1.48299003e-07
1.05452360e+00 4.77434330e-09 1.44284844e-07 1.48723630e-07
1.05936086e+00 4.79624405e-09 1.44332122e-07 1.49153258e-07
1.06419813e+00 4.81814492e-09 1.44389041e-07 1.49588269e-07
1.06903539e+00 4.84004567e-09 1.44456333e-07 1.50029042e-07
1.07387266e+00 4.86194617e-09 1.44534731e-07 1.50475957e-07
1.07870992e+00 4.88384666e-09 1.44624953e-07 1.50929387e-07
1.08354718e+00 4.90574716e-09 1.44727713e-07 1.51389705e-07
1.08838445e+00 4.92764778e-09 1.44843712e-07 1.51857275e-07
1.09322171e+00 4.94954814e-09 1.44973645e-07 1.52332461e-07
1.09805898e+00 4.97144928e-09 1.45118192e-07 1.52815618e-07
1.10289624e+00 4.99335003e-09 1.45278022e-07 1.53307099e-07
1.10773350e+00 5.01525052e-09 1.45453793e-07 1.53807247e-07
1.11257077e+00 5.03715127e-09 1.45646145e-07 1.54316399e-07
1.11740803e+00 5.05905202e-09 1.45855710e-07 1.54834889e-07
1.12224530e+00 5.08095226e-09 1.46083099e-07 1.55363037e-07
1.12708256e+00 5.10285288e-09 1.46328908e-07 1.55901158e-07
1.13191983e+00 5.12475376e-09 1.46593717e-07 1.56449557e-07
1.13675709e+00 5.14665464e-09 1.46878089e-07 1.57008531e-07
1.14159435e+00 5.16855488e-09 1.47182566e-07 1.57578366e-07
